Usuario,Comentarios
sedapemu,512
Lopr1621,431
riiott2,343
ozzraven,297
Paltamachine,230
MariaJoseBlanchester,226
Hanneman_213,223
proletarianpanzer,218
FeanDoe,210
nekoql,203
EstablishmentNo5132,201
Shingocrates,197
KangrejoMan,175
A_chinche_cinetico,173
Fixion01,164
Grim0508,148
Lo_Innombrable,145
Harkoncito,140
Shot-Statement-6772,139
JPZV,136
tecitoearlgray,135
funeralballoonsv2,131
Cahums,126
All-Your-Base,120
Putotunel,112
inviernoruso,111
Educational-Maximum3,109
matydragon_20,98
SaintTomasPepe,96
ctuna89,94
zenkeep,94
xascoberto,92
notrealme69,90
A-Wiley,89
Ruganko,89
Bl4nkface,88
BeeMovieApologist,86
OozingPositron,85
iloveseries_,82
DonPichulas34,81
PanFrito,79
sin_ese,75
shap2,75
loica_enojada,71
MatvsGal17,71
luchoventas,70
sedentarybird,70
Johnny1392,70
maddowizardoo,70
una__paloma,69
FinchoDS,69
Tierrrez,68
macana144,67
zurizuricata,67
AnyResponsibility2,64
sfl_,63
luxrayo,61
Otaninn,60
CuyiGuaton,58
AtunEnLomitos,51
Milcaos,50
bolmer,50
papuanuevaguinea,49
shakaritahermandad,48
ffuentesv2,46
subhumano-,45
ReadySteadyGoA,45
Antares_de_la_Luz,44
Mr-Black_,44
Mrquest_10293847,44
naxomaster,43
Heoro-Mazgraev,42
ElweonIsekai,42
MinaDawngate,40
ph1406,39
Giuseppe_Stallini,39
TMCamilo,38
euhna,38
StrangeSemiticLatin2,37
Ambiguedades,37
Tigre_Obeso,35
XJpablo,34
FLB1,34
NinjalaS1Player,33
Degoguite-real,33
Chiefrockacl,32
ipurge123,32
chalecomono,32
Opazo-cl,32
blackbunny09,32
Blubari,31
fifofy,31
Nefernetka,31
atunmayo,30
nashoramosxd,30
Patoqta,30
BrocoLee,30
polloillo,30
RaccoonD,30
tazonconcafe,28
PaltaDoctor,28
bob_patino,28
SeaworthinessHot1789,28
mmmmmOrito,28
RNGesus_cultist20,27
BufferUnderpants,27
GinTonicWithCucumber,27
dkease,26
HarinaCollico,26
